distance_from_start_km,distance_from_user_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,mola_corrected_residual_m,ctx_raw_m,ctx_tilt_corrected_m
0.000000,-4.145302,75.968000,18.119000,-1523.268265,-530.010249,nan,nan
0.100000,-4.045302,75.969750,18.118713,-1521.339255,-527.005056,nan,nan
0.200000,-3.945302,75.971500,18.118426,-1519.426691,-524.016327,nan,nan
0.300000,-3.845302,75.973249,18.118139,-1517.462963,-520.976477,nan,nan
0.400000,-3.745302,75.974999,18.117853,-1515.328781,-517.766221,nan,nan
0.500000,-3.645302,75.976749,18.117566,-1513.128813,-514.490162,nan,nan
0.600000,-3.545302,75.978499,18.117279,-1510.863059,-511.148300,nan,nan
0.700000,-3.445302,75.980248,18.116992,-1508.531519,-507.740636,nan,nan
0.800000,-3.345302,75.981998,18.116705,-1499.158975,-497.291843,nan,nan
0.900000,-3.245302,75.983748,18.116418,-1488.808153,-485.864756,nan,nan
1.000000,-3.145302,75.985498,18.116132,-1478.490226,-474.470564,nan,nan
1.100000,-3.045302,75.987248,18.115845,-1468.205192,-463.109265,nan,nan
1.200000,-2.945302,75.988997,18.115558,-1460.665432,-454.493250,nan,nan
1.300000,-2.845302,75.990747,18.115271,-1457.328438,-450.080017,nan,nan
1.400000,-2.745302,75.992497,18.114984,-1454.386162,-446.061501,nan,nan
1.500000,-2.645302,75.994247,18.114697,-1451.838603,-442.437703,nan,nan
1.600000,-2.545302,75.995996,18.114410,-1449.685762,-439.208621,nan,nan
1.700000,-2.445302,75.997746,18.114124,-1434.290981,-422.737766,nan,nan
1.800000,-2.345302,75.999496,18.113837,-1417.816000,-405.186735,nan,nan
1.900000,-2.245302,76.001246,18.113550,-1401.044973,-387.339675,nan,nan
2.000000,-2.145302,76.002996,18.113263,-1383.931679,-369.150362,nan,nan
2.100000,-2.045302,76.004745,18.112976,-1369.225100,-353.367646,nan,nan
2.200000,-1.945302,76.006495,18.112689,-1357.764852,-340.831156,nan,nan
2.300000,-1.845302,76.008245,18.112402,-1345.942771,-327.932833,nan,nan
2.400000,-1.745302,76.009995,18.112116,-1333.758855,-314.672676,nan,nan
2.500000,-1.645302,76.011744,18.111829,-1321.186434,-301.024013,nan,nan
2.600000,-1.545302,76.013494,18.111542,-1306.768347,-285.529659,nan,nan
2.700000,-1.445302,76.015244,18.111255,-1292.596971,-270.282016,nan,nan
2.800000,-1.345302,76.016994,18.110968,-1278.672307,-255.281084,nan,nan
2.900000,-1.245302,76.018744,18.110681,-1264.994353,-240.526864,nan,nan
3.000000,-1.145302,76.020493,18.110395,-1252.604856,-227.061159,nan,nan
3.100000,-1.045302,76.022243,18.110108,-1241.123680,-214.503837,nan,nan
3.200000,-0.945302,76.023993,18.109821,-1229.642504,-201.946531,nan,nan
3.300000,-0.845302,76.025743,18.109534,-1218.161327,-189.389242,nan,nan
3.400000,-0.745302,76.027492,18.109247,-1207.884392,-178.036207,nan,nan
3.500000,-0.645302,76.029240,18.108949,-1210.413172,-179.487237,nan,nan
3.600000,-0.545302,76.030972,18.108577,-1212.392057,-180.378275,nan,nan
3.700000,-0.445302,76.032704,18.108206,-1214.097065,-180.995415,nan,nan
3.800000,-0.345302,76.034436,18.107835,-1215.528196,-181.338657,nan,nan
3.900000,-0.245302,76.036168,18.107464,-1213.071663,-177.794196,nan,nan
4.000000,-0.145302,76.037900,18.107093,-1208.220910,-171.855497,nan,nan
4.100000,-0.045302,76.039633,18.106722,-1203.665094,-166.211735,nan,nan
4.200000,0.054698,76.041365,18.106350,-1199.404216,-160.862911,nan,nan
4.300000,0.154698,76.043097,18.105979,-1195.332145,-155.702893,nan,nan
4.400000,0.254698,76.044829,18.105608,-1190.134470,-149.417247,nan,nan
4.500000,0.354698,76.046561,18.105237,-1185.031816,-143.226637,nan,nan
4.600000,0.454698,76.048293,18.104866,-1179.848458,-136.955350,nan,nan
4.700000,0.554698,76.050025,18.104495,-1174.559765,-130.578748,nan,nan
4.800000,0.654698,76.051757,18.104123,-1169.226198,-124.157390,nan,nan
4.900000,0.754698,76.053490,18.103752,-1163.784704,-117.628167,nan,nan
5.000000,0.854698,76.055222,18.103381,-1158.174679,-110.930392,nan,nan
5.100000,0.954698,76.056954,18.103010,-1152.396122,-104.064065,nan,nan
5.200000,1.054698,76.057618,18.104534,-1157.173697,-108.855643,nan,nan
5.300000,1.154698,76.058252,18.106109,-1161.378977,-113.105077,nan,nan
5.400000,1.254698,76.058887,18.107685,-1164.378582,-116.148699,nan,nan
5.500000,1.354698,76.059522,18.109260,-1167.702622,-119.516748,nan,nan
5.600000,1.454698,76.060156,18.110836,-1170.928362,-122.786529,nan,nan
5.700000,1.554698,76.060791,18.112412,-1174.055802,-125.958042,nan,nan
5.800000,1.654698,76.061425,18.113987,-1175.721177,-127.667544,nan,nan
5.900000,1.754698,76.062060,18.115563,-1175.537959,-127.528462,nan,nan
6.000000,1.854698,76.062695,18.117139,-1175.158144,-127.192752,nan,nan
