longitude_e,latitude_n,raw_elevation_m,reference_plane_m,corrected_residual_m
75.3554688,18.9492188,-65.000,-427.757,362.757
75.3632812,18.9492188,-71.000,-432.231,361.231
75.3710938,18.9492188,-76.000,-436.704,360.704
75.3789062,18.9492188,-87.000,-441.178,354.178
75.3867188,18.9492188,-94.000,-445.652,351.652
75.3945312,18.9492188,-103.000,-450.126,347.126
75.4023438,18.9492188,-110.000,-454.599,344.599
75.4101562,18.9492188,-110.000,-459.073,349.073
75.4179688,18.9492188,-117.000,-463.547,346.547
75.4257812,18.9492188,-125.000,-468.021,343.021
75.4335938,18.9492188,-130.000,-472.495,342.495
75.4414062,18.9492188,-136.000,-476.968,340.968
75.4492188,18.9492188,-137.000,-481.442,344.442
75.4570312,18.9492188,-138.000,-485.916,347.916
75.4648438,18.9492188,-138.000,-490.390,352.390
75.4726562,18.9492188,-136.000,-494.863,358.863
75.4804688,18.9492188,-133.000,-499.337,366.337
75.4882812,18.9492188,-129.000,-503.811,374.811
75.4960938,18.9492188,-126.000,-508.285,382.285
75.5039062,18.9492188,-130.000,-512.758,382.758
75.5117188,18.9492188,-135.000,-517.232,382.232
75.5195312,18.9492188,-142.000,-521.706,379.706
75.5273438,18.9492188,-150.000,-526.180,376.180
75.5351562,18.9492188,-158.000,-530.653,372.653
75.5429688,18.9492188,-169.000,-535.127,366.127
75.5507812,18.9492188,-183.000,-539.601,356.601
75.5585938,18.9492188,-201.000,-544.075,343.075
75.5664062,18.9492188,-219.000,-548.548,329.548
75.5742188,18.9492188,-230.000,-553.022,323.022
75.5820312,18.9492188,-237.000,-557.496,320.496
75.5898438,18.9492188,-233.000,-561.970,328.970
75.5976562,18.9492188,-228.000,-566.443,338.443
75.6054688,18.9492188,-224.000,-570.917,346.917
75.6132812,18.9492188,-221.000,-575.391,354.391
75.6210938,18.9492188,-219.000,-579.865,360.865
75.6289062,18.9492188,-217.000,-584.338,367.338
75.6367188,18.9492188,-214.000,-588.812,374.812
75.6445312,18.9492188,-215.000,-593.286,378.286
75.6523438,18.9492188,-205.000,-597.760,392.760
75.6601562,18.9492188,-195.000,-602.234,407.234
75.6679688,18.9492188,-183.000,-606.707,423.707
75.6757812,18.9492188,-169.000,-611.181,442.181
75.6835938,18.9492188,-173.000,-615.655,442.655
75.6914062,18.9492188,-180.000,-620.129,440.129
75.6992188,18.9492188,-184.000,-624.602,440.602
75.7070312,18.9492188,-182.000,-629.076,447.076
75.7148438,18.9492188,-178.000,-633.550,455.550
75.7226562,18.9492188,-206.000,-638.024,432.024
75.7304688,18.9492188,-238.000,-642.497,404.497
75.7382812,18.9492188,-269.000,-646.971,377.971
75.7460938,18.9492188,-300.000,-651.445,351.445
75.7539062,18.9492188,-329.000,-655.919,326.919
75.7617188,18.9492188,-356.000,-660.392,304.392
75.7695312,18.9492188,-382.000,-664.866,282.866
75.7773438,18.9492188,-406.000,-669.340,263.340
75.7851562,18.9492188,-426.000,-673.814,247.814
75.7929688,18.9492188,-440.000,-678.287,238.287
75.8007812,18.9492188,-448.000,-682.761,234.761
75.8085938,18.9492188,-463.000,-687.235,224.235
75.8164062,18.9492188,-477.000,-691.709,214.709
