Points for Profile 1
Point1: [18.203°N, 76.077°E][start point]
Point2: [18.232°N, 76.08°E]
Point3: [18.266°N, 76.079°E]
Point4: [18.312°N, 76.066°E]
Point5: [18.338°N, 76.058°E]
Point6: [18.369°N, 76.053°E]
Point7: [18.389°N, 76.045°E]
Point8: [18.403°N, 76.027°E]
Point9: [18.409°N, 76.015°E]
Point10: [18.421°N, 75.982°E]
Point11: [18.428°N, 75.972°E]
Point12: [18.435°N, 75.963°E]
Point13: [18.454°N, 75.943°E]
Point14: [18.463°N, 75.925°E]
Point15: [18.476°N, 75.915°E]
Point16: [18.476°N, 75.902°E]
Point17: [18.48°N, 75.878°E]
Point18: [18.492°N, 75.855°E]
Point19: [18.498°N, 75.832°E]
Point20: [18.502°N, 75.804°E]
Point21: [18.507°N, 75.781°E]
Point22: [18.507°N, 75.754°E]
Point23: [18.495°N, 75.745°E]
Point24: [18.491°N, 75.735°E]
Point25: [18.493°N, 75.719°E]
Point26: [18.493°N, 75.698°E]
Point27: [18.488°N, 75.674°E]
Point28: [18.473°N, 75.641°E]
Point29: [18.455°N, 75.617°E]
Point30: [18.469°N, 75.609°E]
Point31: [18.463°N, 75.586°E]
Point32: [18.448°N, 75.566°E]
Point33: [18.423°N, 75.553°E]
Point34: [18.373°N, 75.507°E]
Point35: [18.344°N, 75.501°E]
Point36: [18.323°N, 75.48°E]
Point37: [18.295°N, 75.478°E]
Point38: [18.272°N, 75.496°E]
Point39: [18.283°N, 75.478°E]
Point40: [18.265°N, 75.473°E]
Point41: [18.246°N, 75.482°E]
Point42: [18.227°N, 75.488°E]
Point43: [18.209°N, 75.472°E]
Point44: [18.167°N, 75.449°E]
Point45: [18.161°N, 75.46°E]
Point46: [18.146°N, 75.465°E]
Point47: [18.148°N, 75.479°E]
Point48: [18.134°N, 75.491°E]
Point49: [18.136°N, 75.504°E]
Point50: [18.122°N, 75.512°E]
Point51: [18.103°N, 75.512°E]
Point52: [18.087°N, 75.514°E]
Point53: [18.054°N, 75.523°E]
Point54: [18.029°N, 75.561°E]
Point55: [18.01°N, 75.608°E]
Point56: [17.979°N, 75.67°E]
Point57: [17.953°N, 75.774°E]
Point58: [17.944°N, 75.814°E]
Point59: [17.945°N, 75.838°E]
Point60: [17.962°N, 75.881°E]
Point61: [17.977°N, 75.933°E]
Point62: [17.998°N, 75.973°E]
Point63: [18.017°N, 76°E]
Point64: [18.053°N, 76.021°E]
Point65: [18.091°N, 76.04°E]
Point66: [18.125°N, 76.041°E]
Point67: [18.134°N, 76.053°E]
Point68: [18.167°N, 76.067°E]
Point69: [18.198°N, 76.075°E]
Point70: [18.202°N, 76.077°E][end point]
