vertex_index,longitude_e_deg,latitude_n_planetocentric_deg,distance_along_trace_km
1,76.077000,18.203000,0.0000
2,76.080000,18.232000,1.7272
3,76.079000,18.266000,3.7434
4,76.066000,18.312000,6.5665
5,76.058000,18.338000,8.1720
6,76.053000,18.369000,10.0309
7,76.045000,18.389000,11.2990
8,76.027000,18.403000,12.6080
9,76.015000,18.409000,13.3709
10,75.982000,18.421000,15.3584
11,75.972000,18.428000,16.0573
12,75.963000,18.435000,16.7118
13,75.943000,18.454000,18.3033
14,75.925000,18.463000,19.4474
15,75.915000,18.476000,20.4012
16,75.902000,18.476000,21.1321
17,75.878000,18.480000,22.5020
18,75.855000,18.492000,23.9777
19,75.832000,18.498000,25.3187
20,75.804000,18.502000,26.9103
21,75.781000,18.507000,28.2367
22,75.754000,18.507000,29.7544
23,75.745000,18.495000,30.6272
24,75.735000,18.491000,31.2373
25,75.719000,18.493000,32.1445
26,75.698000,18.493000,33.3250
27,75.674000,18.488000,34.7063
28,75.641000,18.473000,36.7636
29,75.617000,18.455000,38.4838
30,75.609000,18.469000,39.4277
31,75.586000,18.463000,40.7688
32,75.566000,18.448000,42.2024
33,75.553000,18.423000,43.8548
34,75.507000,18.373000,47.7889
35,75.501000,18.344000,49.5407
36,75.480000,18.323000,51.2570
37,75.478000,18.295000,52.9205
38,75.496000,18.272000,54.6190
39,75.478000,18.283000,55.8238
40,75.473000,18.265000,56.9273
41,75.482000,18.246000,58.1622
42,75.488000,18.227000,59.3380
43,75.472000,18.209000,60.7344
44,75.449000,18.167000,63.5407
45,75.460000,18.161000,64.2550
46,75.465000,18.146000,65.1877
47,75.479000,18.148000,65.9851
48,75.491000,18.134000,67.0554
49,75.504000,18.136000,67.7972
50,75.512000,18.122000,68.7416
51,75.512000,18.103000,69.8678
52,75.514000,18.087000,70.8228
53,75.523000,18.054000,72.8436
54,75.561000,18.029000,75.4480
55,75.608000,18.010000,78.3267
56,75.670000,17.979000,82.2755
57,75.774000,17.953000,88.3386
58,75.814000,17.944000,90.6565
59,75.838000,17.945000,92.0112
60,75.881000,17.962000,94.6369
61,75.933000,17.977000,97.7007
62,75.973000,17.998000,100.2765
63,76.000000,18.017000,102.1699
64,76.021000,18.053000,104.6101
65,76.040000,18.091000,107.1040
66,76.041000,18.125000,109.1202
67,76.053000,18.134000,109.9813
68,76.067000,18.167000,112.0903
69,76.075000,18.198000,113.9823
70,76.077000,18.202000,114.2447
