distance_from_rim_km,longitude_e_deg,latitude_n_deg,mola_raw_m,corrected_min_m,corrected_median_m,corrected_max_m,ctx_raw_m
-4.145302,75.968,18.119,-1523.268265,-484.4372850452737,-425.0353131234633,-418.48994231790084,nan
-4.045302,75.96975,18.118713,-1521.339255,-480.888741036337,-421.33188718045653,-414.94860386331925,nan
-3.945302,75.9715,18.118426,-1519.426691,-477.35664302739974,-417.64490723744893,-411.42371140873706,nan
-3.845302,75.973249,18.118139,-1517.462963,-473.7742519784722,-413.90771420431633,-407.8485124200263,nan
-3.745302,75.974999,18.117853,-1515.328781,-470.0208682134744,-409.9995006643844,-404.10239138425504,nan
-3.645302,75.976749,18.117566,-1513.128813,-466.20136620453763,-406.0251167213771,-400.2900949296734,nan
-3.545302,75.978499,18.117279,-1510.863059,-462.31607819560054,-401.98494677837016,-396.4120124750916,nan
-3.445302,75.980248,18.116992,-1508.531519,-458.3658751466603,-397.8799417452235,-392.46900148636814,nan
-3.345302,75.981998,18.116705,-1499.158975,-447.3737971377236,-386.7329818022165,-381.48412903178655,nan
-3.245302,75.983748,18.116418,-1488.808153,-435.4034411287864,-374.6077438592092,-369.5209785772047,nan
-3.145302,75.985498,18.116132,-1478.490226,-423.4663123637888,-362.51578531927726,-357.59111254143363,nan
-3.045302,75.987248,18.115845,-1468.205192,-411.56174435486423,-350.45633537628373,-345.69375008686393,nan
-2.945302,75.988997,18.115558,-1460.665432,-402.40332130592424,-341.1431103431373,-336.5425190981407,nan
-2.845302,75.990747,18.115271,-1457.328438,-397.44679329698715,-336.03170040013015,-331.59319664355917,nan
-2.745302,75.992497,18.114984,-1454.386162,-392.8849832880503,-331.315008457123,-327.0385921889772,nan
-2.645302,75.994247,18.114697,-1451.838603,-388.71789027911313,-326.99303351411595,-322.87870473439534,nan
-2.545302,75.995996,18.11441,-1449.685762,-384.9463862301732,-323.0667274809696,-319.11439274567215,nan
-2.445302,75.997746,18.114124,-1434.290981,-367.93240346517564,-305.89791494103747,-302.1076727099012,nan
-2.345302,75.999496,18.113837,-1417.816,-349.83788845625077,-287.64851799804387,-284.0203632553314,nan
